x	y
-0.317	1.763
-1.038	1.032
-0.42	1.271
-1.854	0.59
-4.057	-1.368
1.131	2.017
0.638	0.943
2.669	2.514
7.575	4.152
3.426	3.311
3.955	3.864
3.587	4.172
3.747	2.581
3.019	4.55
-2.133	0.038
1.207	1.382
-1.267	-1.226
3.09	3.014
0.454	1.715
-0.933	-0.021
-1.169	1.828
-0.55	0.804
2.674	2.739
0.265	2.327
1.269	3.501
4.785	4.941
-1.117	0.236
1.006	0.704
4.323	3.506
3.678	3.4
-7.703	-3.873
-5.471	-1.247
1.618	2.572
-0.848	0.673
-2.593	-0.305
1.297	2.642
3.312	2.818
1.918	2.342
1.034	1.397
-1.293	0.932
-0.227	1.6
-1.022	-0.1
0.604	2.641
4.054	4.31
1.542	3.535
2.54	3.297
3.219	3.596
0.951	1.081
1.836	3.266
1.486	1.827
2.285	2.093
-0.426	1.108
-1.087	0.762
10.144	8.904
0.141	3.103
-2.84	0.806
3.278	5.364
-0.178	0.629
-2.611	-0.027
-2.111	1.745
0.942	2.951
1.096	3.178
1.795	2.146
2.475	2.531
1.715	2.733
-1.053	-0.478
-3.844	-0.94
5.234	4.365
3.915	4.413
-2.468	1.254
1.431	3.004
6.092	4.886
0.039	3.034
-5.094	-0.945
-3.234	-0.642
-2.976	0.454
-0.551	0.773
1.186	1.051
-0.787	1.384
7.99E-03	0.612
2.617	3.921
1.656	2.273
2.215	2.249
-2.468	0.888
-2.315	-0.55
-2.31	-4.74E-03
-0.222	0.399
-2.94	-0.027
-7.521	-1.857
4.828	4.896
3.373	2.108
1.429	2.838
-2.019	-0.905
-1.781	0.985
-1.634	2.08
1.833	2.321
-0.207	0.578
4.906	4.103
-3.134	-1.058
2.141	3.002
2.313	3.629
6.281	5.546
-0.942	1.502
2.653	1.491
5.639	5.249
-4.465	-1.426
4.924	3.872
-2.147	-1.497
2.377	2.082
-2.157	-2.112
-2.726	-0.196
2.272	3.129
-4.75	-1.567
0.628	0.547
2.24	2.789
5.397	4.476
-2.687	-0.503
-0.154	1.181
2.429	2.906
1.559	2.513
1.588	2.492
2.562	1.206
3.469	3.812
3.794	3.988
3.691	5.406
1.78	3.207
-1.08	-0.079
2.397	2.578
0.548	2.751
-1.59	0.438
7.343	5.997
-2.708	-0.626
-4.081	-0.061
2.159	4.115
-3.287	-2.093
-0.233	2.927
3.623	4.13
-0.707	3.193
-1.729	0.474
-1.603	1.551
4.291	5.726
-2.069	0.578
-2.755	-0.113
2.874	3.084
-1.213	1.585
2.623	3.058
2.992	2.815
2.559	2.972
1.438	2.054
0.846	3.186
1.948	3.635
1.747	2.146
0.488	2.635
-0.358	0.635
1.881	2.285
1.452	2.597
-1.802	1.858
3.378	2.306
3.149	3.381
4.131	3.111
3.433	2.148
